"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Expected result: the username field on the profile page contains the value ""Pulsar""","5192","User login using the login button on the reset password page","","2025-10-22","passed","2025-10-22","","ru.stellarburgers.UserLoginTest","ru.stellarburgers.UserLoginTest","UserLoginWhenCLickLoginButtonOnResetPasswordPage"
"Expected result: the username field on the profile page contains the value ""Pulsar""","5418","User login using the login button on the main page","","2025-10-22","passed","2025-10-22","","ru.stellarburgers.UserLoginTest","ru.stellarburgers.UserLoginTest","UserLoginWhenCLickLoginButtonHomePageTest"
"Verify that the selected category becomes active and its class attribute contains ""tab_tab_type_current__""","2673","Select category test","","2025-10-22","passed","2025-10-22","","ru.stellarburgers.SelectCategoryTest","ru.stellarburgers.SelectCategoryTest","selectCategoryTest[Selected category: bun category]"
"Verify that the selected category becomes active and its class attribute contains ""tab_tab_type_current__""","2725","Select category test","","2025-10-22","passed","2025-10-22","","ru.stellarburgers.SelectCategoryTest","ru.stellarburgers.SelectCategoryTest","selectCategoryTest[Selected category: sauce category]"
"Expected result: error message is displayed indicating invalid password","2792","User registration with invalid password","","2025-10-22","passed","2025-10-22","","ru.stellarburgers.UserRegistrationTest","ru.stellarburgers.UserRegistrationTest","registrationUserWithInvalidPasswordTest"
"Expected result: the username field on the profile page contains the value ""Pulsar""","5177","User login using the personal account button on the main page","","2025-10-22","passed","2025-10-22","","ru.stellarburgers.UserLoginTest","ru.stellarburgers.UserLoginTest","UserLoginWhenCLickPersonalAccountButtonInHeaderTest"
"Verify that the selected category becomes active and its class attribute contains ""tab_tab_type_current__""","2977","Select category test","","2025-10-22","passed","2025-10-22","","ru.stellarburgers.SelectCategoryTest","ru.stellarburgers.SelectCategoryTest","selectCategoryTest[Selected category: filling category]"
"Expected result: the username field on the profile page contains the value ""Pulsar""","22587","User login using the login button on the registration page","","2025-10-22","passed","2025-10-22","","ru.stellarburgers.UserLoginTest","ru.stellarburgers.UserLoginTest","UserLoginWhenCLickLoginButtonOnRegistrationPage"
"Expected result: the username field on the profile page contains the value ""Pulsar""","5307","User registration with valid required fields","","2025-10-22","passed","2025-10-22","","ru.stellarburgers.UserRegistrationTest","ru.stellarburgers.UserRegistrationTest","registrationUserWithValidRequiredFieldsTest"
