"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Expected result: the username field on the profile page contains the value ""Pulsar""","4818","User login using the login button on the reset password page","","2025-10-23","passed","2025-10-23","","ru.stellarburgers.UserLoginTest","ru.stellarburgers.UserLoginTest","UserLoginWhenCLickLoginButtonOnResetPasswordPage"
"Expected result: the username field on the profile page contains the value ""Pulsar""","16499","User login using the login button on the registration page","","2025-10-23","passed","2025-10-23","","ru.stellarburgers.UserLoginTest","ru.stellarburgers.UserLoginTest","UserLoginWhenCLickLoginButtonOnRegistrationPage"
"Expected result: the username field on the profile page contains the value ""Pulsar""","5231","User login using the personal account button on the main page","","2025-10-23","passed","2025-10-23","","ru.stellarburgers.UserLoginTest","ru.stellarburgers.UserLoginTest","UserLoginWhenCLickPersonalAccountButtonInHeaderTest"
"Expected result: the username field on the profile page contains the value ""Pulsar""","4874","User login using the login button on the main page","","2025-10-23","passed","2025-10-23","","ru.stellarburgers.UserLoginTest","ru.stellarburgers.UserLoginTest","UserLoginWhenCLickLoginButtonHomePageTest"
"Expected result: the username field on the profile page contains the value ""{name}""","5507","User registration with valid required fields","","2025-10-23","passed","2025-10-23","","ru.stellarburgers.UserRegistrationTest","ru.stellarburgers.UserRegistrationTest","registrationUserWithValidRequiredFieldsTest"
"Verifies that the sauce category becomes active and its class attribute contains ""tab_tab_type_current__""","2376","Select sauce category test","","2025-10-23","passed","2025-10-23","","ru.stellarburgers.SelectCategoryTest","ru.stellarburgers.SelectCategoryTest","selectSauceCategoryTest"
"Verifies that the bun category becomes active and its class attribute contains ""tab_tab_type_current__""","2442","Select bun category test","","2025-10-23","passed","2025-10-23","","ru.stellarburgers.SelectCategoryTest","ru.stellarburgers.SelectCategoryTest","selectBunCategoryTest"
"Verifies that the filling category becomes active and its class attribute contains ""tab_tab_type_current__""","2386","Select filling category test","","2025-10-23","passed","2025-10-23","","ru.stellarburgers.SelectCategoryTest","ru.stellarburgers.SelectCategoryTest","selectFillingCategoryTest"
"Expected result: error message is displayed indicating invalid password","2692","User registration with invalid password","","2025-10-23","passed","2025-10-23","","ru.stellarburgers.UserRegistrationTest","ru.stellarburgers.UserRegistrationTest","registrationUserWithInvalidPasswordTest"
