"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Expected result: the username field on the profile page contains the value ""Pulsar""","68909","User login using the login button on the reset password page","","2025-10-23","passed","2025-10-23","","ru.stellarburgers.UserLoginTest","ru.stellarburgers.UserLoginTest","UserLoginWhenCLickLoginButtonOnResetPasswordPage"
"Expected result: error message is displayed indicating invalid password","17250","User registration with invalid password","","2025-10-23","passed","2025-10-23","","ru.stellarburgers.UserRegistrationTest","ru.stellarburgers.UserRegistrationTest","registrationUserWithInvalidPasswordTest"
"Verifies that the bun category becomes active and its class attribute contains ""tab_tab_type_current__""","16451","Select bun category test","","2025-10-23","passed","2025-10-23","","ru.stellarburgers.SelectCategoryTest","ru.stellarburgers.SelectCategoryTest","selectBunCategoryTest"
"Expected result: the username field on the profile page contains the value ""Pulsar""","19591","User login using the login button on the main page","","2025-10-23","passed","2025-10-23","","ru.stellarburgers.UserLoginTest","ru.stellarburgers.UserLoginTest","UserLoginWhenCLickLoginButtonHomePageTest"
"Verifies that the filling category becomes active and its class attribute contains ""tab_tab_type_current__""","11748","Select filling category test","","2025-10-23","passed","2025-10-23","","ru.stellarburgers.SelectCategoryTest","ru.stellarburgers.SelectCategoryTest","selectFillingCategoryTest"
"Expected result: the username field on the profile page contains the value ""Pulsar""","36083","User login using the login button on the registration page","","2025-10-23","passed","2025-10-23","","ru.stellarburgers.UserLoginTest","ru.stellarburgers.UserLoginTest","UserLoginWhenCLickLoginButtonOnRegistrationPage"
"Verifies that the sauce category becomes active and its class attribute contains ""tab_tab_type_current__""","11975","Select sauce category test","","2025-10-23","passed","2025-10-23","","ru.stellarburgers.SelectCategoryTest","ru.stellarburgers.SelectCategoryTest","selectSauceCategoryTest"
"Expected result: the username field on the profile page contains the value ""Pulsar""","19607","User login using the personal account button on the main page","","2025-10-23","passed","2025-10-23","","ru.stellarburgers.UserLoginTest","ru.stellarburgers.UserLoginTest","UserLoginWhenCLickPersonalAccountButtonInHeaderTest"
"Expected result: the username field on the profile page contains the value ""{name}""","96647","User registration with valid required fields","","2025-10-23","passed","2025-10-23","","ru.stellarburgers.UserRegistrationTest","ru.stellarburgers.UserRegistrationTest","registrationUserWithValidRequiredFieldsTest"
